torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.881216,-0.5203252,0.2058714,-3.0802708,0.25615147,5.1232305,0.33434677,-0.33252597,0.9089085,0.77467585,-0.054232832,0.61539257,-0.13501088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.386427,32.90303,16.95374,-33.641586,2.3762648,-0.85756207,0.06123378,0.09628693,0.09853246,0.06557926,0.049590394,-0.01919743,0.07446415,0.08189344,0.7950269,0.009853247,1.3330082,1.2266895,1.6037831,-0.9001248,1.5789857,0.7854945,0.000098448196,1.326516,1.2217791,1.6056857,-0.9075507,1.5708164,0.01925352,0.01968964,0.013200181,0.009731015,-0.0034637058,0.0041178814,0.0039608516,0.019264221,0.01968964,0.013160706,0.009727478,-0.0034332275,0.0041007996,0.004005432,2.8658152,-0.5190444,0.23124097,-3.0802708,0.25615147,5.0739145,0.33444452,-0.33244276,0.90888524,0.77465403,-0.05428798,0.6154271,-0.1349572,0.019527052,0.016654711,-0.0046306546,1,0,0,0,0,0,0,0,0,3.850704,3.937928,2.640036,1.946203,-0.69274116,0.8235763,0.7921703,3.8528442,3.937928,2.632141,1.9454956,-0.6866455,0.8201599,0.8010864
31.704882,55.52773,30.8942,-32.082355,1.3949931,-2.5936198,0.09961151,0.18597338,0.17282277,0.118376404,0.095341414,-0.026424596,0.13008398,0.15533222,0.8040919,0.017380726,1.3383536,1.2313132,1.6030432,-0.8945423,1.5863496,0.7857768,0.0003696538,1.3267001,1.2219222,1.6056437,-0.9074949,1.5708746,0.05644149,0.054241132,0.036844596,0.028586343,-0.008432269,0.011176662,0.011677284,0.05645752,0.054241125,0.03681183,0.02861023,-0.008392334,0.0111579895,0.011634827,2.8504143,-0.5177636,0.25636396,-3.0802708,0.25615147,5.0245986,0.33472013,-0.33220744,0.9088179,0.77459514,-0.0544426,0.6155227,-0.13479644,0.05519996,0.04698987,-0.013453539,1,0,0,0,0,0,0,0,0,7.4375944,6.910299,4.7288833,3.7710655,-0.9937126,1.411756,1.5432864,7.4386597,6.9102974,4.7302246,3.7765503,-0.9918213,1.411438,1.5258789
39.669292,67.80708,38.63367,-32.690224,1.0869117,-3.5675306,0.12500355,0.25479674,0.21888807,0.16325784,0.10420767,-0.022795657,0.17932427,0.21721248,0.81125647,0.02225846,1.3430259,1.232343,1.6033642,-0.8895625,1.5925958,0.78630036,0.0008458638,1.3270377,1.2221615,1.6055827,-0.9073905,1.5709862,0.10468932,0.09524203,0.06746105,0.047801998,-0.012288763,0.020859307,0.022336394,0.10471344,0.09524199,0.06752014,0.04787445,-0.012207031,0.020885468,0.022315979,2.8350134,-0.51648283,0.28124037,-3.0802708,0.25615147,4.9752827,0.335217,-0.33177948,0.9087065,0.774501,-0.05472303,0.615682,-0.13449568,0.09933216,0.08561966,-0.02226172,1,0,0,0,0,0,0,0,0,9.649567,8.20018,6.123291,3.8431308,-0.7712988,1.936529,2.1318219,9.651184,8.200173,6.1416626,3.8528442,-0.76293945,1.9454956,2.1362305
41.350708,68.569496,40.209846,-34.295605,1.4765024,-3.8188677,0.21289146,0.31906724,0.21615347,0.206947,0.094357274,0.02151129,0.22727785,0.2706186,0.8182071,0.022461211,1.3477324,1.2315973,1.6077338,-0.8846627,1.598048,0.78710335,0.0014999876,1.3275546,1.2224734,1.6055493,-0.90722406,1.5711626,0.16056432,0.13082477,0.10338984,0.062348884,-0.0067093307,0.0332869,0.03526348,0.16059875,0.13082476,0.103378296,0.0623703,-0.00667572,0.033283234,0.03528595,2.8196125,-0.51520205,0.3058702,-3.0802708,0.25615147,4.9259667,0.33594084,-0.33114362,0.9085668,0.77439916,-0.055132966,0.61587757,-0.13401924,0.14475194,0.12712555,-0.027909806,1,0,0,0,0,0,0,0,0,11.174999,7.1165485,7.185757,2.909377,1.1158864,2.4855185,2.585417,11.177063,7.1165533,7.171631,2.89917,1.1062622,2.4795532,2.5939941
36.68682,57.074936,35.53383,-36.057503,2.4433374,-3.351434,0.36696807,0.38755074,0.14735514,0.24677855,0.067805216,0.08118606,0.271595,0.32336193,0.8258584,0.016235502,1.3522325,1.2292539,1.613668,-0.88006455,1.6034988,0.7882201,0.0022341944,1.3282698,1.2228177,1.6056056,-0.9069818,1.5714134,0.22334222,0.14684144,0.14297263,0.06886196,0.011212543,0.048480485,0.05012922,0.22335052,0.14684138,0.14305115,0.068855286,0.011253357,0.048446655,0.05016327,2.8042116,-0.51392126,0.33025345,-3.0802708,0.25615147,4.876651,0.336864,-0.3303151,0.90842426,0.7743399,-0.055651963,0.6160563,-0.1333231,0.18456405,0.16568238,-0.028545184,1,0,0,0,0,0,0,0,0,12.555581,3.2033324,7.916559,1.3026155,3.5843744,3.038717,2.9731483,12.550354,3.2033234,7.9345703,1.2969971,3.5858154,3.0326843,2.9754639
31.358795,45.014362,30.209919,-39.062298,3.5587668,-2.7977033,0.4901404,0.45149672,0.076894596,0.28493947,0.018602874,0.14651303,0.31124276,0.37426546,0.8333698,0.009923654,1.3567638,1.2246779,1.6202569,-0.87585753,1.60884,0.7896754,0.0029526688,1.3291959,1.2231352,1.6058125,-0.9066504,1.5717462,0.29102194,0.14369497,0.18526521,0.06356148,0.04132867,0.06625849,0.06648676,0.2910614,0.14369488,0.18520355,0.06351471,0.041389465,0.066280365,0.06656647,2.7888107,-0.5126405,0.3543901,-3.0802708,0.25615147,4.827335,0.33795166,-0.32930994,0.9083128,0.7743742,-0.05626218,0.61616236,-0.13237502,0.21760619,0.20109792,-0.022428297,1,0,0,0,0,0,0,0,0,13.535944,-0.6292939,8.458516,-1.060097,6.0232253,3.5556011,3.2715082,13.542175,-0.6292999,8.430481,-1.0681152,6.0272217,3.566742,3.2806396
27.865128,37.27853,26.712406,-41.184135,4.301846,-2.4302692,0.5690478,0.50791043,0.02936931,0.32001293,-0.016815104,0.20313953,0.3475214,0.42091584,0.84046644,0.0058896,1.3611971,1.2214537,1.6261265,-0.8718983,1.6138378,0.7914812,0.0035961661,1.3303422,1.223387,1.6062131,-0.9062184,1.5721649,0.36111277,0.12869932,0.22920172,0.050430264,0.08017205,0.086391434,0.08377509,0.36115646,0.12869947,0.2292633,0.050354004,0.08010864,0.08640289,0.083732605,2.7734098,-0.5113597,0.37828022,-3.0802708,0.25615147,4.778019,0.33918428,-0.32813835,0.9082546,0.7745341,-0.056951616,0.61615866,-0.13115598,0.24603762,0.23450805,-0.0117076775,1,0,0,0,0,0,0,0,0,14.018166,-2.9991298,8.787301,-2.6262424,7.768676,4.026589,3.4576654,14.019012,-2.999082,8.811951,-2.632141,7.7438354,4.0245056,3.4332275
22.620071,26.411844,21.497337,-43.652596,5.194129,-1.8627255,0.6466083,0.5610641,-0.04821624,0.35573426,-0.07048342,0.2615809,0.3798618,0.4695493,0.8475876,-0.001225458,1.3659157,1.2163386,1.6323712,-0.86823225,1.6191199,0.7936427,0.00408875,1.3317155,1.2235243,1.6068454,-0.9056753,1.5726742,0.4322533,0.09851687,0.27464047,0.027554458,0.12640117,0.10861994,0.101791374,0.43230057,0.09851679,0.2746582,0.02746582,0.12645721,0.108623505,0.10185242,2.758009,-0.5100789,0.40192375,-3.0802708,0.25615147,4.728703,0.3405242,-0.3268175,0.9082772,0.7748558,-0.05770225,0.616003,-0.12965032,0.26785007,0.2643427,0.0043825707,1,0,0,0,0,0,0,0,0,14.228106,-6.0364904,9.08775,-4.5751615,9.245825,4.4457016,3.6032572,14.228821,-6.036535,9.0789795,-4.5776367,9.269714,4.4441223,3.6239624
17.563023,16.320814,16.479042,-46.167694,6.016633,-1.3094915,0.70090526,0.60988647,-0.12516588,0.38958496,-0.1296461,0.31640935,0.40871203,0.5149611,0.85463136,-0.008427838,1.370674,1.2105597,1.6384863,-0.8648041,1.6241703,0.79615897,0.004363442,1.3333205,1.2234995,1.6077361,-0.9050125,1.573275,0.50324494,0.054938614,0.3209909,-0.004991565,0.17807214,0.13259195,0.120124795,0.50325394,0.054938346,0.32100677,-0.0049591064,0.17814636,0.13256073,0.120162964,2.742608,-0.5087981,0.42532068,-3.0802708,0.25615147,4.679387,0.34194136,-0.32536602,0.9084061,0.7753675,-0.058499537,0.61565995,-0.12785068,0.28319642,0.29065847,0.025642436,1,0,0,0,0,0,0,0,0,14.198327,-8.715651,9.270084,-6.5092044,10.334194,4.794401,3.6666842,14.190674,-8.715689,9.269714,-6.4849854,10.33783,4.787445,3.6621094
